Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,14.03814754,14.31206078,14.59969212,14.90157921,15.21820605,15.54520265,15.88181233,16.23593113,16.61843274,17.03442851,17.48126857,17.94702693,18.41514873,18.864003,19.27358699,19.65407744,19.99892626,20.25326563,20.34629017,20.23620991,19.9076724,19.40232362,18.80815948,18.24665319,17.81468921,17.5212894,17.36655945,17.42451368,17.78076617,18.48416199,19.58976503,21.05448335,22.70681463,24.30837699,25.6908403,26.77725699,27.62327298,28.35444046,29.16156603,30.17789419,31.44802867,32.9122308,34.47502987,35.99523634,37.37393622,38.57429617,39.63720246,40.63465521,41.67400515,42.83032656,44.1276338,45.53319701,46.99705909,48.44454554
Afghanistan,AFG,Population in largest city,EN.URB.LCTY,285352,300359,316177,332829,350382,368809,388232,408087,428363,449585,471891,495303,528508,573161,621656,674254,731385,793178,860289,932388,977824,1025339,1075233,1127555,1182500,1239961,1300299,1358525,1419444,1482916,1549320,1618697,1691283,1766910,1846031,1928694,2015181,2105292,2199565,2298059,2401109,2508477,2620804,2738161,2860946,2989237,3123281,3263335,3409670,3562567,3722320,3889237,4063639,4245861,4436255
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.58913643,38.51971263,38.43074002,38.33000317,38.20867984,38.0726894,37.93139497,37.73534484,37.46747334,37.15771978,36.80463534,36.41757091,36.62429585,37.46187054,38.38870871,39.44982953,40.62997191,41.93391999,43.49663191,45.47626317,47.19952193,49.52347603,52.45617322,55.86615568,59.4545865,62.86878264,66.00067001,68.50449645,70.24592736,70.82029157,70.09558901,68.05708784,65.16338207,62.17503357,59.76893188,58.20281391,57.47847603,57.34884071,57.51012444,57.56146056,57.26515377,56.57484175,55.65647807,54.70891593,53.95938466,53.50948953,53.37192923,53.46455024,53.67385053,53.85662902,53.91862117,53.84062071,53.67500385,53.48866887,53.36950205
Afghanistan,AFG,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,285352,300359,316177,332829,350382,368809,388232,408087,428363,449585,471891,495303,528508,573161,621656,674254,731385,793178,860289,932388,977824,1025339,1075233,1127555,1182500,1239961,1300299,1358525,1419444,1482916,1549320,1618697,1691283,1766910,1846031,1928694,2015181,2105292,2199565,2298059,2401109,2508477,2620804,2738161,2860946,2989237,3123281,3263335,3409670,3562567,3722320,3889237,4063639,4245861,4436255
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,3.172413195,3.277259165,3.383826146,3.491864654,3.601549856,3.712085664,3.825382623,3.93579654,4.04124044,4.143827694,4.243205504,4.339882313,4.510648554,4.767397235,5.047731109,5.358471469,5.699979916,6.074966957,6.506227582,7.019260832,7.401358765,7.889090364,8.488457528,9.182720714,9.926539411,10.66128897,11.36729432,11.98212337,12.47778612,12.77456204,12.83870738,12.65657725,12.30415048,11.91895427,11.63222961,11.49912935,11.5273084,11.6739316,11.88216717,12.07063927,12.1871704,12.21790196,12.19711623,12.16562061,12.17431601,12.25099742,12.40203601,12.61068284,12.8527396,13.09416288,13.31196783,13.49999811,13.66994964,13.83805427,14.02657231
Afghanistan,AFG,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0.27,0.47,0.58,0.58,0.65,0.6695,0.96,,1,,1.21,,1.19
Afghanistan,AFG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0.34,0.54,0.53,0.53,0.68,0.7004,1.05,,1.15,,1.28,,1.07
Afghanistan,AFG,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,44.8,46.7,48.5,50.4,52.2,54.1,55.9,57.8,59.6,61.5,63.3,65.2,67,68.9,70.7,72.6,74.5,76.3,78.2
Afghanistan,AFG,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,26.2,26.2,26.2,26.2,27.2,28.2,29.2,30.2,31.2,32.2,33.2,34.2,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1
Afghanistan,AFG,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,5.6,,,
Afghanistan,AFG,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,27.6,,,
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,5.253807423,5.305559057,5.363622327,5.395135995,5.45653947,5.482040625,5.504228299,5.505923633,5.56145851,5.665559722,5.797084414,5.899409171,5.922778017,5.849692328,5.678048833,5.395365553,5.185680989,4.951863649,4.463225682,3.597366425,1.038739496,-0.061418242,-1.001711213,-1.546653828,-1.467474655,-0.838788391,-0.110084401,0.657082315,1.87627451,3.560194322,5.409140133,7.331836738,8.73151014,9.068900264,8.32732082,7.035745048,5.638908254,4.600307599,4.099705822,4.291299325,4.902681459,5.587298986,6.01712608,6.097717158,5.76608776,5.22384466,4.643995554,4.213174285,3.995872755,4.046627059,4.271538044,4.531354508,4.69466817,4.734332923,4.609630067
Afghanistan,AFG,Urban population,SP.URB.TOTL,739462,779754,822719,868325,917022,968697,1023511,1081445,1143293,1209937,1282151,1360066,1443053,1529985,1619372,1709143,1800112,1891495,1977829,2050274,2071682,2070410,2049774,2018315,1988913,1972300,1970130,1983118,2020678,2093914,2210296,2378440,2595450,2841832,3088613,3313747,3505975,3671028,3824657,3992357,4192967,4433909,4708893,5004963,5302036,5586368,5851917,6103736,6352572,6614909,6903589,7223611,7570822,7937870,8312341
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,8.221,8.508,8.805,9.11,9.426,9.75,10.085,10.43,10.786,11.152,11.529,11.917,12.316,12.726,13.149,13.583,14.029,14.487,14.958,15.435,15.681,15.93,16.182,16.437,16.696,16.958,17.223,17.491,17.763,18.038,18.316,18.597,18.882,19.17,19.462,19.757,20.055,20.356,20.661,20.97,21.282,21.596,21.915,22.237,22.562,22.895,23.237,23.587,23.946,24.313,24.689,25.074,25.468,25.871,26.282
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.305195316,4.384298548,4.464432502,4.544558434,4.624227962,4.703271036,4.782891634,4.865720703,4.955244245,5.054118072,5.163748296,5.284067538,5.414466191,5.553660865,5.700917623,5.855063768,6.016940724,6.19005294,6.379146547,6.586949547,6.816355178,7.064659501,7.322254753,7.575934868,7.816803561,8.040186091,8.250350525,8.458252988,8.679708029,8.925860271,9.202031764,9.504268068,9.823362477,10.14557071,10.46175182,10.76827866,11.0707211,11.38021176,11.71250742,12.07879843,12.48318842,12.92187054,13.38846154,13.87302479,14.36828587,14.87243683,15.38774926,15.91581856,16.45953557,17.02089837,17.6003016,18.19654448,18.80821529,19.43332317
Angola,AGO,Population in largest city,EN.URB.LCTY,219427,233134,251373,271039,292274,315108,339760,366341,395043,425905,459225,488590,514050,540761,568901,598504,629692,662412,696882,733145,771349,811430,853654,898104,956033,1017524,1083062,1152823,1227182,1306113,1390240,1479785,1575234,1676551,1784538,1899480,2022000,2151205,2288862,2435328,2591388,2756977,2933398,3121108,3321113,3533331,3759432,4000000,4162994,4332153,4508434,4691888,4882807,5081495,5288267
