"Data Source","World Development Indicators",

"Last Updated Date","2015-09-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST","","307.972222222222","312.366666666667","314.983333333333","316.827777777778","318.666666666667","320.622222222222","322.494444444444","324.361111111111","326.244444444444","328.138888888889","330.211111111111","332.494444444444","334.661111111111","336.25","336.972222222222","336.605555555556","335.366666666667","333.922222222222","333.211111111111","333.866666666667","336.483333333333","340.8","345.577777777778","349.061111111111","350.155555555556","348.022222222222","343.527777777778","339.316666666667","339.066666666667","345.266666666667","359.016666666667","379.083333333333","402.766666666667","426.111111111111","446.255555555556","462.194444444444","474.705555555556","484.866666666667","494.466666666667","504.766666666667","516.077777777778","527.75","538.972222222222","548.566666666667","555.727777777778","560.166666666667","562.322222222222","563.011111111111","563.422222222222","564.427777777778","566.311111111111","568.85","571.783333333333","574.672222222222","",
"Aruba","ABW","Population in largest city","EN.URB.LCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Population in urban agglomerations of more than 1 million","EN.URB.MCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Improved water source, urban (% of urban population with access)","SH.H2O.SAFE.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91.3","91.6","91.9","92.3","92.6","92.9","93.2","93.6","93.9","94.2","94.5","94.9","95.2","95.5","95.8","96.2","96.5","96.8","97.1","97.4","97.8","98.1","98.1","98.1","98.1",
"Aruba","ABW","Improved sanitation facilities, urban (% of urban population with access)","SH.STA.ACSN.UR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6","98.6","98.5","98.5","98.4","98.4","98.3","98.3","98.3","98.2","98.2","98.1","98.1","98","98","98","97.9","97.9","97.8","97.8","97.7","97.7","97.7","97.7","97.7","97.7",
"Aruba","ABW","Urban poverty gap at national poverty lines (%)","SI.POV.URGP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Urban poverty headcount ratio at national poverty lines (% of urban population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Urban population growth (annual %)","SP.URB.GROW","3.10680241045376","2.20618318433586","1.38697499636895","0.80288070483961","0.554747972841247","0.551687489869343","0.579433503636217","0.552299235634435","0.545884346729547","0.54964647491214","0.549986295301161","0.600181855646915","0.656065971493423","0.622254958570945","0.442109085794983","0.186083007517644","-0.140346319363298","-0.399267450161548","-0.460148716602229","-0.244079545939063","0.168280771568235","0.748870345963056","1.24548380077705","1.36095825532289","0.973977021021492","0.28059352867705","-0.641159437863127","-1.33009950984554","-1.2634468091336","-0.104112450841062","1.78092202111824","3.87630844003047","4.82802695659047","5.23626017101926","4.80348621120982","3.78237876922299","2.66252519903131","1.81782881985523","1.26129546360595","1.09550075019494","1.18734435151914","1.4036631528538","1.44149549086462","1.30581044686801","0.958215078321778","0.486825436686081","-0.0200514654951185","-0.435438638108562","-0.705177194577594","-0.757862167942257","-0.658444218423254","-0.50875533696714","-0.338308551383726","-0.210004115718702","-0.161842262275042","",
"Aruba","ABW","Urban population","SP.URB.TOTL","27525","28139","28532","28762","28922","29082","29251","29413","29574","29737","29901","30081","30279","30468","30603","30660","30617","30495","30355","30281","30332","30560","30943","31367","31674","31763","31560","31143","30752","30720","31272","32508","34116","35950","37719","39173","40230","40968","41488","41945","42446","43046","43671","44245","44671","44889","44880","44685","44371","44036","43747","43525","43378","43287","43217","",
"Aruba","ABW","Urban population (% of total)","SP.URB.TOTL.IN.ZS","50.776","50.761","50.746","50.73","50.715","50.7","50.685","50.67","50.654","50.639","50.624","50.609","50.593","50.578","50.563","50.548","50.532","50.517","50.502","50.487","50.472","50.456","50.441","50.426","50.411","50.395","50.38","50.365","50.35","50.335","50.319","50.304","49.998","49.588","49.177","48.767","48.356","47.946","47.536","47.127","46.717","46.339","45.972","45.606","45.24","44.875","44.511","44.147","43.783","43.421","43.059","42.698","42.364","42.058","41.779","",
